2026-03-06T20:52:56: 2026-03-06 20:52:56 | INFO    | 📊 Prometheus метрики запущены на порту http://localhost:8000/metrics (bot=politics)
2026-03-06T20:52:56: 2026-03-06 20:52:56 | INFO    | ✅ Prometheus метрики запущены на порту 8000 (bot=politics)
2026-03-06T20:52:56: 2026-03-06 20:52:56 | INFO    | ℹ️ Запуск politika.py
2026-03-06T20:52:56: 2026-03-06 20:52:56 | INFO    | ✅ Локальная БД инициализирована
2026-03-06T20:52:56: 2026-03-06 20:52:56 | INFO    | ✅ Глобальная БД дедупликации инициализирована
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    | 💾 Загружен кэш: 710 записей
2026-03-06T20:52:59: 2026-03-06 20:52:59 | WARNING | ⚠️ Не удалось запустить планировщик дайджестов: 'AlertManager' object has no attribute 'telegram'
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    | ============================================================
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    | 🚀 @I_Politika PRODUCTION 2026
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    Категория: POLITICS
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    Модель: openai/gpt-oss-20b
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    Лимит: 48 постов/день
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    🌐 Перевод: ВКЛ
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    🔄 Fuzzy порог: 85%
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    💾 Кэш: 710 записей
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    ���� Глобальная дедупликация: ✅
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    ☀️ ДЕНЬ: 10-15 мин
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    |    🌙 НОЧЬ: 30-45 мин
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    | ============================================================
2026-03-06T20:52:59: 2026-03-06 20:52:59 | INFO    | ============================================================
