2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ✅ LLM клиент инициализирован (https://routerai.ru/v1)
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ✅ Глобальная дедупликация инициализирована
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ✅ БД urgent_news инициализирована
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | 💾 Загружен LLM кэш из llm_cache_urgent.pkl (0 записей)
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ✅ UrgentNewsBot инициализирован
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | 🚀 Запуск UrgentNewsBot...
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ============================================================
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | 🔄 Проверка срочных новостей...
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | ============================================================
2026-03-06T20:10:49: 2026-03-06 20:10:49 | INFO    | 📂 Категория: POLITICS
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    | 📰 politics: найдено 30 новостей за последние 3ч
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    |    [1] Обработка: Трамп считает, что капитуляция Ирана возможна при утрате им 
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    |    ⏭️ Новость отклонена: Трамп считает, что капитуляция Ирана возможна при 
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    |    [2] Обработка: В Сумах произошел взрыв
2026-03-06T20:10:52: 2026-03-06 20:10:52 | INFO    |    🔥 Приоритет: 90 (порог: 90, триггеры: ['взрыв+произошел'])
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    | 🔄 Extended fuzzy дубликат (70%): 'В Сумах произошел взрыв' ~ 'В Сумах произошел взрыв'
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔄 ОТКЛОНЁН: дубликат (extended_fuzzy_match)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: В Сумах произошел взрыв
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [3] Обработка: В Воронеже объявили угрозу непосредственного удара БПЛА
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: В Воронеже объявили угрозу непосредственного удара
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [4] Обработка: Центр Израиля подвергся еще одному обстрелу из Ирана
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Центр Израиля подвергся еще одному обстрелу из Ира
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [5] Обработка: Подполье: ВСУ отвлекают внимание от своих неудач обстрелом ж
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 95 (порог: 90, триггеры: ['обстрел+жил'])
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    | 🔄 Срочная новость - похожий заголовок (70%): 'Подполье: ВСУ отвлекают внимание от своих неудач о' ~ 'Подполье: ВСУ отвлекают внимание от своих неудач о'
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔄 ОТКЛОНЁН: дубликат (urgent_similar_title)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Подполье: ВСУ отвлекают внимание от своих неудач о
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [6] Обработка: Росстандарт разрабатывает ГОСТ на отечественные игристые вин
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Росстандарт разрабатывает ГОСТ на отечественные иг
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [7] Обработка: Генштаб Ирана: Тегеран сделает невозможной "агрессию Вашингт
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Генштаб Ирана: Тегеран сделает невозможной "агресс
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [8] Обработка: CNN: страны Персидского залива рассматривают отказ от зарубе
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: CNN: страны Персидского залива рассматривают отказ
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [9] Обработка: Reuters: США хотят, чтобы Шри-Ланка не возвращала в Иран мор
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Reuters: США хотят, чтобы Шри-Ланка не возвращала 
